iter	Passed	Remaining
670	1061	520
671	1063	519
672	1065	517
673	1066	516
674	1068	514
675	1070	512
676	1072	511
677	1073	509
678	1075	508
679	1077	506
680	1078	505
681	1080	503
682	1082	502
683	1083	500
684	1085	499
685	1087	497
686	1088	496
687	1090	494
688	1092	492
689	1093	491
690	1095	490
691	1097	488
692	1098	486
693	1100	485
694	1102	483
695	1104	482
696	1106	481
697	1108	479
698	1110	478
699	1111	476
700	1113	475
701	1115	473
702	1117	472
703	1119	470
704	1121	469
705	1122	467
706	1124	466
707	1126	464
708	1128	462
709	1129	461
710	1131	459
711	1132	458
712	1134	456
713	1136	455
714	1137	453
715	1139	451
716	1141	450
717	1142	448
718	1144	447
719	1146	445
720	1147	444
721	1149	442
722	1150	440
723	1152	439
724	1154	438
725	1156	436
726	1157	434
727	1159	433
728	1161	431
729	1163	430
730	1164	428
731	1166	427
732	1168	425
733	1169	423
734	1171	422
735	1173	420
736	1174	419
737	1176	417
738	1177	416
739	1179	414
740	1180	412
741	1182	411
742	1183	409
743	1185	407
744	1186	406
745	1188	404
746	1189	403
747	1191	401
748	1192	399
749	1194	398
750	1195	396
751	1197	394
752	1198	393
753	1200	391
754	1201	390
755	1203	388
756	1204	386
757	1206	385
758	1207	383
759	1209	381
760	1210	380
761	1212	378
762	1213	376
763	1214	375
764	1216	373
765	1217	372
766	1219	370
767	1221	368
768	1222	367
769	1224	365
770	1225	364
771	1227	362
772	1228	360
773	1230	359
774	1231	357
775	1233	356
776	1235	354
777	1236	352
778	1237	351
779	1239	349
780	1241	348
781	1242	346
782	1243	344
783	1245	343
784	1247	341
785	1248	339
786	1249	338
787	1251	336
788	1253	335
789	1254	333
790	1256	331
791	1257	330
792	1259	328
793	1260	327
794	1262	325
795	1264	324
796	1265	322
797	1267	320
798	1269	319
799	1270	317
800	1272	316
801	1274	314
802	1275	313
803	1277	311
804	1278	309
805	1280	308
806	1282	306
807	1283	305
808	1285	303
809	1286	301
810	1288	300
811	1290	298
812	1291	297
813	1293	295
814	1295	293
815	1296	292
816	1298	290
817	1300	289
818	1301	287
819	1303	286
820	1305	284
821	1307	283
822	1308	281
823	1310	279
824	1312	278
825	1314	276
826	1316	275
827	1318	273
828	1319	272
829	1321	270
830	1323	269
831	1324	267
832	1326	265
833	1328	264
834	1329	262
835	1331	261
836	1333	259
837	1334	258
838	1336	256
839	1338	254
840	1340	253
841	1341	251
842	1343	250
843	1345	248
844	1346	247
845	1348	245
846	1349	243
847	1351	242
848	1353	240
849	1354	239
850	1356	237
851	1358	235
852	1359	234
853	1361	232
854	1363	231
855	1364	229
856	1366	228
857	1368	226
858	1369	224
859	1371	223
860	1373	221
861	1375	220
862	1376	218
863	1378	216
864	1380	215
865	1381	213
866	1383	212
867	1384	210
868	1387	209
869	1388	207
870	1390	205
871	1391	204
872	1393	202
873	1395	201
874	1396	199
875	1398	197
876	1399	196
877	1401	194
878	1403	193
879	1405	191
880	1406	190
881	1408	188
882	1410	186
883	1411	185
884	1413	183
885	1414	182
886	1416	180
887	1417	178
888	1419	177
889	1420	175
890	1422	174
891	1423	172
892	1425	170
893	1427	169
894	1428	167
895	1430	165
896	1431	164
897	1433	162
898	1434	161
899	1435	159
900	1437	157
901	1439	156
902	1440	154
903	1441	153
904	1443	151
905	1445	149
906	1446	148
907	1447	146
908	1449	145
909	1451	143
910	1452	141
911	1454	140
912	1456	138
913	1457	137
914	1459	135
915	1461	133
916	1462	132
917	1464	130
918	1465	129
919	1467	127
920	1469	126
921	1470	124
922	1471	122
923	1473	121
924	1475	119
925	1476	118
926	1478	116
927	1479	114
928	1481	113
929	1482	111
930	1484	109
931	1485	108
932	1487	106
933	1488	105
934	1489	103
935	1491	101
936	1493	100
937	1494	98
938	1496	97
939	1498	95
940	1499	94
941	1501	92
942	1502	90
943	1504	89
944	1505	87
945	1507	86
946	1509	84
947	1510	82
948	1512	81
949	1513	79
950	1515	78
951	1516	76
952	1518	74
953	1519	73
954	1521	71
955	1522	70
956	1524	68
957	1526	66
958	1527	65
959	1529	63
960	1530	62
961	1532	60
962	1533	58
963	1534	57
964	1536	55
965	1538	54
966	1539	52
967	1541	50
968	1542	49
969	1544	47
970	1545	46
971	1547	44
972	1548	42
973	1550	41
974	1551	39
975	1553	38
976	1554	36
977	1556	35
978	1557	33
979	1559	31
980	1560	30
981	1562	28
982	1563	27
983	1565	25
984	1566	23
985	1568	22
986	1569	20
987	1571	19
988	1572	17
989	1574	15
990	1575	14
991	1577	12
992	1578	11
993	1579	9
994	1581	7
995	1583	6
996	1584	4
997	1586	3
998	1587	1
999	1589	0
